model_label,condition,anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,gpt-4.1
Claude-Opus-4.8,automation_Claude-Opus-4.8,,5.5,3.5
Claude-Sonnet-4.6,automation_Claude-Sonnet-4.6,,2.5,3.5
DeepSeek-V3.1,automation_DeepSeek-V3.1,7.0,,1.5
GPT-3.5-Turbo,automation_GPT-3.5-Turbo,6.0,9.0,
GPT-4.1,automation_GPT-4.1,1.0,8.0,
GPT-5-Mini,automation_GPT-5-Mini,8.0,2.5,
GPT-O3-Mini,automation_GPT-O3-Mini,3.0,5.5,
GPT-O4-Mini,automation_GPT-O4-Mini,5.0,5.5,
GPT-OSS-120B,automation_GPT-OSS-120B,4.0,1.0,
Gemini-3.1-Pro,automation_Gemini-3.1-Pro,2.0,5.5,1.5
