model_label,condition,aggregate_rank,avg_win_rate_across_judges
Claude-Opus-4.8,scaffold_Claude-Opus-4.8,8.0,0.375
Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,6.0,0.4375
DeepSeek-V3.1,scaffold_DeepSeek-V3.1,10.0,0.125
GPT-4.1,scaffold_GPT-4.1,2.0,0.7410714285714286
GPT-5-Mini,scaffold_GPT-5-Mini,5.0,0.5178571428571428
GPT-O3-Mini,scaffold_GPT-O3-Mini,7.0,0.4017857142857143
GPT-O4-Mini,scaffold_GPT-O4-Mini,3.0,0.7321428571428572
GPT-OSS-120B,scaffold_GPT-OSS-120B,1.0,0.75
Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,9.0,0.33928571428571425
plain,plain,4.0,0.6071428571428571
