judge_model,model_id,model_label,condition,avg_rank,avg_win_rate,total_wins,total_games,task_slug,task_title,mode,score,rank_value,source
anthropic/claude-opus-4-8,gpt-4.1,GPT-4.1,scaffold_GPT-4.1,1.0,1.0,7.0,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,1.0,1.0,panel_judge
anthropic/claude-opus-4-8,google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,2.0,0.8571428571428571,6.0,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.8571428571428571,2.0,panel_judge
anthropic/claude-opus-4-8,gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,3.5,0.5714285714285714,4.0,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5714285714285714,3.5,panel_judge
anthropic/claude-opus-4-8,openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,3.5,0.5714285714285714,4.0,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5714285714285714,3.5,panel_judge
anthropic/claude-opus-4-8,o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,5.0,0.4285714285714285,3.0,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.4285714285714285,5.0,panel_judge
anthropic/claude-opus-4-8,o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,6.0,0.2857142857142857,2.0,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.2857142857142857,6.0,panel_judge
anthropic/claude-opus-4-8,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.5,0.1428571428571428,1.0,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.1428571428571428,7.5,panel_judge
anthropic/claude-opus-4-8,plain,plain,plain,7.5,0.1428571428571428,1.0,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.1428571428571428,7.5,panel_judge
anthropic/claude-opus-4-8,anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,,,0.0,0.0,counselling,Counseling session (Anthropic Econ Index),augmentation,,,panel_judge
