model_id,model_label,condition,avg_rank_across_judges,sd_rank_across_judges,avg_win_rate_across_judges,sd_win_rate_across_judges,n_judges,aggregate_rank,task_slug,task_title,mode,score,rank_value,source,judge_model
gpt-4.1,GPT-4.1,scaffold_GPT-4.1,1.3333333333333333,0.5773502691896257,0.9583333333333334,0.0721687836487032,4,1.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.9583333333333334,1.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,scaffold_Gemini-3.1-Pro,2.0,1.0,0.7857142857142857,0.2575393768188564,4,2.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.7857142857142857,2.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,scaffold_GPT-5-Mini,3.8333333333333335,0.2886751345948128,0.6071428571428571,0.0309294787065871,4,3.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.6071428571428571,3.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,scaffold_GPT-O4-Mini,4.5,1.3228756555322954,0.5595238095238095,0.1687791295090217,4,4.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5595238095238095,4.0,panel_aggregate,aggregate
anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,scaffold_Claude-Sonnet-4.6,4.0,2.6457513110645907,0.5416666666666666,0.3145764348029479,4,5.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5416666666666666,5.0,panel_aggregate,aggregate
o3-mini-2025-01-31,GPT-O3-Mini,scaffold_GPT-O3-Mini,4.666666666666667,1.4433756729740643,0.5178571428571429,0.2028181552071526,4,6.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.5178571428571429,6.0,panel_aggregate,aggregate
openai/gpt-oss-120b,GPT-OSS-120B,scaffold_GPT-OSS-120B,5.0,1.3228756555322954,0.4404761904761904,0.1134080885908193,4,7.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.4404761904761904,7.0,panel_aggregate,aggregate
plain,plain,plain,5.875,3.3260336739125176,0.3169642857142857,0.2939204708714228,4,8.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.3169642857142857,8.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,scaffold_Claude-Opus-4.8,6.5,3.0413812651491097,0.25,0.2165063509461096,4,9.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.25,9.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,scaffold_DeepSeek-V3.1,7.333333333333333,2.0816659994661326,0.0833333333333333,0.1443375672974064,4,10.0,counselling,Counseling session (Anthropic Econ Index),augmentation,0.0833333333333333,10.0,panel_aggregate,aggregate
gpt-5-mini-2025-08-07,GPT-5-Mini,automation_GPT-5-Mini,1.3333333333333333,0.5773502691896258,0.9166666666666666,0.0721687836487032,4,1.0,counselling,Counseling session (Anthropic Econ Index),automation,0.9166666666666666,1.0,panel_aggregate,aggregate
deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,automation_DeepSeek-V3.1,2.1666666666666665,0.7637626158259733,0.751984126984127,0.1091630532022136,4,2.0,counselling,Counseling session (Anthropic Econ Index),automation,0.751984126984127,2.0,panel_aggregate,aggregate
o4-mini-2025-04-16,GPT-O4-Mini,automation_GPT-O4-Mini,3.1666666666666665,2.0207259421636903,0.7440476190476191,0.2115399481418673,4,3.0,counselling,Counseling session (Anthropic Econ Index),automation,0.7440476190476191,3.0,panel_aggregate,aggregate
google/gemini-3.1-pro,Gemini-3.1-Pro,automation_Gemini-3.1-Pro,3.6666666666666665,2.0207259421636903,0.5793650793650794,0.0836162996258153,4,4.0,counselling,Counseling session (Anthropic Econ Index),automation,0.5793650793650794,4.0,panel_aggregate,aggregate
anthropic/claude-opus-4-8,Claude-Opus-4.8,automation_Claude-Opus-4.8,3.8333333333333335,2.0207259421636903,0.4861111111111111,0.2294821061369209,4,5.0,counselling,Counseling session (Anthropic Econ Index),automation,0.4861111111111111,5.0,panel_aggregate,aggregate
gpt-4.1,GPT-4.1,automation_GPT-4.1,5.333333333333333,1.5275252316519463,0.4761904761904762,0.1316270499255712,4,6.0,counselling,Counseling session (Anthropic Econ Index),automation,0.4761904761904762,6.0,panel_aggregate,aggregate
